scenario,budget,method,target,proxy_target,bias,bias_mcse,rmse,empirical_variance,exact_design_variance,mean_estimated_variance,correct_selection,selection_mcse,mean_audits,audit_sd,audit_p05,audit_p95,zero_variance_fraction,wald_coverage,wald_coverage_mcse,wald_width,wald_decisive_rate,wald_wrong_decisive_rate,bernstein_coverage,bernstein_coverage_mcse,bernstein_width,bernstein_decisive_rate,bernstein_wrong_decisive_rate
silent_mild,600,historical_active,-0.014999999999999902,0.010499999999980717,-0.00027100789463355146,0.0004295944651302022,0.013580879881104452,0.00018455140447050448,0.00018354246081220125,0.00018485059667811847,0.875,0.010458250331675944,599.507,20.29561191151582,566.0,634.0,0.0,0.932,0.00796090447122687,0.05242902683650829,0.165,0.003,1.0,0.0,0.5198590127012459,0.0,0.0
silent_mild,600,fixed_mixture,-0.014999999999999902,0.010499999999980717,-0.0001314399545831301,0.0004138480835608483,0.01308114071831584,0.00017127023626698688,0.00016261617558088265,0.00016371709525986195,0.87,0.010634848376916336,600.303,21.793350847016185,565.0,638.0,0.0,0.945,0.007209368904418752,0.04978911022481593,0.218,0.0,1.0,0.0,0.45078475878859336,0.0,0.0
silent_mild,600,robust_path,-0.014999999999999902,0.010499999999980717,-0.0002901676913853717,0.0004436838822040911,0.014026500961732758,0.00019685538732769375,0.00019443156089839436,0.00019593160877103872,0.863,0.010873407929439602,600.512,22.36049748659112,566.0,637.0,0.0,0.949,0.006956938982052382,0.05469737460456148,0.186,0.001,1.0,0.0,0.4167750644926457,0.0,0.0
silent_mild,600,oracle_residual,-0.014999999999999902,0.010499999999980717,-4.495007520735096e-05,3.6365354318859376e-05,0.0011502769514349985,1.322438994736184e-06,1.2724882518797023e-06,1.2700871632822698e-06,1.0,0.0,599.756,11.633219494009206,580.95,619.05,0.0,0.943,0.007331507348424336,0.004413429924948588,1.0,0.0,1.0,0.0,0.9597174394913953,0.0,0.0
silent_strong,40,uniform,-0.10399999999999998,0.010499999999980717,0.0003024999999806932,0.0030125041369141597,0.09521658206426016,0.009075181174924925,0.008438883749999999,0.00846752655375,0.869,0.010669536072388528,40.25,6.202416462151664,30.0,51.0,0.0,0.914,0.008865889690267975,0.3492576803983466,0.15,0.004,1.0,0.0,1.8192709175117503,0.0,0.0
silent_strong,40,historical_active,-0.10399999999999998,0.010499999999980717,0.0002965304270762248,0.003484788824499525,0.11014398453161028,0.012143753151356781,0.011151177143668084,0.011211907479378337,0.83,0.0118785521003193,39.929,6.234968631343212,30.0,50.0,0.0,0.712,0.014319776534569246,0.36824120945237454,0.052,0.013,1.0,0.0,1.9876534290638297,0.0,0.0
silent_strong,40,fixed_mixture,-0.10399999999999998,0.010499999999980717,0.001211316044256519,0.0030054389582057344,0.09500051554980289,0.00903266333150077,0.008619491465793895,0.008584906033666432,0.879,0.010313049985334114,40.161,6.222362637840774,30.0,51.0,0.0,0.835,0.011737759581794136,0.34011315758516697,0.097,0.006,1.0,0.0,1.9279052613591616,0.0,0.0
silent_strong,40,robust_path,-0.10399999999999998,0.010499999999980717,0.0006803596520567334,0.0029221922528478135,0.09236412314474339,0.00853920756260378,0.008117519262050725,0.008141604178024526,0.873,0.010529529904036551,40.303,6.183156347887576,30.0,51.0,0.0,0.907,0.009184280047995052,0.3405460480180066,0.137,0.003,1.0,0.0,1.8467914647787307,0.0,0.0
silent_strong,40,oracle_residual,-0.10399999999999998,0.010499999999980717,0.0017938363849452355,0.0011022276437806363,0.034884218808960775,0.0012149057787142134,0.001269143497794155,0.0012631187046723631,0.999,0.0009994998749374613,39.814,6.298497842745926,30.0,51.0,0.0,0.949,0.006956938982052382,0.13887602617091438,0.843,0.0,1.0,0.0,2.0,0.0,0.0
silent_strong,100,uniform,-0.10399999999999998,0.010499999999980717,0.0026723999999806874,0.0018232398695349613,0.05768900363154053,0.0033242036218618623,0.0033244087499999992,0.00330611892,0.966,0.005730968504537434,99.76,10.296427361780221,84.0,117.0,0.0,0.939,0.007568289106528638,0.2225137910813487,0.393,0.0,1.0,0.0,1.1264023769834335,0.0,0.0
